,molecular_function,biological_process,cellular_component
0,"('GO:0031267', 179191.0)","('GO:0006610', 225.407)","('GO:0005968', 301.728)"
1,"('GO:0051020', 55659.1)","('GO:0070164', 225.407)","('GO:0005642', 301.712)"
2,"('GO:0019899', 1246.863)","('GO:0018344', 150.848)","('GO:0034066', 149.699)"
3,"('GO:0004663', 225.407)","('GO:0014022', 149.699)","('GO:0016939', 149.691)"
4,"('GO:0005052', 149.699)","('GO:0022007', 149.699)","('GO:0033596', 149.691)"
5,"('GO:0005093', 149.699)","('GO:0036372', 149.699)","('GO:0044614', 149.691)"
6,"('GO:0072518', 149.699)","('GO:0055107', 149.699)","('GO:0048788', 100.56)"
7,"('GO:0004661', 112.698)","('GO:0110061', 149.699)","('GO:0031209', 76.0)"
8,"('GO:0005095', 106.824)","('GO:1902962', 149.699)","('GO:0090725', 74.562)"
9,"('GO:0005515', 105.914)","('GO:1902963', 149.699)","('GO:0099400', 74.562)"
